FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Shorbat Freekeh,0.41,52.32,220.39,11.6,6.96,2.19,0.58,34.8,332.89,550.08,133.65,221.25,81.74,2.55,0.3,0.2,470.28,21.77,0.33,0.19
Butter,1.24,73.22,2712.4,3.4,306.42,1.73,0.87,0.38,63.47,433.25,144.85,135.89,60.89,5.31,4.43,0.09,127.68,18.07,0.09,0.04
Pasta Cooked,1.47,79.17,648.76,23.82,3.7,2.26,6.45,126.88,437.58,253.9,78.25,86.07,53.85,0.61,1.91,0.38,513.93,11.54,0.05,0.23
Fried Fish,1.99,53.38,531.28,48.3,33.81,0.72,1.78,0,252.59,225.24,130.88,269.77,117.65,3.31,3.95,0.38,566.33,21.96,0.15,0.16
Lamb,7.48,41.01,1388.12,118.04,99.15,1.1,0.93,0,479.49,195.6,197.5,287.22,59.66,3.81,4.36,0.4,683.34,36.1,0.44,0.18
Butter,7.26,50.36,2611.65,3.28,295.04,1.92,0.04,0.36,573.24,512.32,106.86,108.66,103.26,5.08,3.25,0.1,367.69,5.6,0.32,0.12
Moussaka Egyptian,5.11,66,673.66,31.09,31.09,1.29,3.38,62.18,129.78,445.77,151.35,295.74,27.04,2.77,4.83,0.22,422.93,0.45,0.29,0.4
Apple,2.56,78.99,103.16,0.6,0.4,2.38,0.34,27.77,582.19,262.99,153.67,51.45,51.02,5.35,1.3,0.23,172.46,55.15,0.16,0.37
Baladi Bread,14.68,41.13,186.54,6.22,1.05,0.79,5.32,37.03,486.56,467.1,36.05,173.27,80.31,3.64,4.95,0.16,176.84,20.56,0.04,0.12
Tea with Sugar,7.77,64.38,69.12,0,0,0.97,4.69,17.28,329.67,574.65,72.91,278.18,118.44,5.82,1.12,0.07,259.29,45.43,0.28,0.09
Om Ali,0.65,79.37,841.86,22.96,30.61,1.48,4.95,114.8,408.76,537,75.04,229.74,58.74,1.78,4.85,0.14,535.77,51.98,0.4,0.3
Rice Pudding,4.87,69.55,472.22,11.81,11.81,2.29,4.87,86.57,448.41,351.13,103.34,65.9,117.77,4,2.28,0.32,780.71,2.19,0.24,0.41
Raw White Rice,14.95,62.04,1064.67,21,1.77,1.16,0.65,233.64,571.32,349.64,75.59,122.43,55.08,3.19,1.51,0.12,561.4,27.35,0.34,0.07
Mahshi Vine Leaves,2.62,78.53,532.01,8.87,17.73,2.41,5.23,79.8,109.12,230.01,196.95,155.99,63.81,1.1,1.75,0.1,314.8,36.25,0.23,0.22
Tamarind Drink,8.71,42.26,109.44,1.31,0.44,0.9,6.36,28.45,154.1,410.07,119.88,263.77,48.88,0.83,0.59,0.13,194.37,4.83,0.03,0.39
Black Coffee,6.91,51.73,7.3,0,0,2.25,6.17,0,269.62,208.21,51.76,195.1,108.86,0.69,1.41,0.36,426.78,33.58,0.49,0.21
Labneh,13.08,50.08,342.5,28.54,22.83,1.29,3.67,8.56,466.45,362.23,170.19,293.28,22.2,2.2,0.95,0.01,61.29,6.94,0.26,0.35
Roasted Chicken,3.95,54.61,812.44,96.72,42.56,0.78,4.72,0,595.28,284.05,30.61,178.11,45.73,1.06,1.33,0.4,9.15,34.01,0.46,0.43
Tamarind Drink,11.54,45.08,64.3,0.77,0.26,0.99,0.91,16.72,287.01,181.26,110.5,266.81,35.93,5.17,3.47,0.48,350.88,29.17,0.19,0.21
Ghorayeba,12.79,75.54,243.8,2.54,16.25,2.42,7.46,14.22,192.8,155.18,189.15,234.42,44.93,4.31,2.1,0.06,239.84,10.95,0.39,0.4
Koshari,8.74,79.48,413.35,11.97,8.7,0.58,7.65,69.62,412.17,163.19,184.74,151.49,104.15,0.44,1.08,0.2,630.9,36.13,0.04,0.3
Ful Medames with Oil,1.29,40.42,396.7,17.85,19.84,2.47,3.62,39.67,576.21,321.09,133.36,113.67,24.15,3.96,4.86,0.33,123.18,36.71,0.2,0.43
Konafa,8.62,68.09,1094.56,25.02,46.91,2.45,4.19,140.73,120.56,422.58,29.93,167.06,96.45,1.11,3.3,0.34,734.91,24.5,0.07,0.06
Butter,1.49,56.05,1092.02,1.37,123.37,2.12,5.52,0.15,187.8,558.45,176.93,146.76,93.51,1.14,0.72,0.04,751.87,23.77,0.2,0.36
Ghorayeba,5.32,75.64,1466.24,15.27,97.75,0.91,1.59,85.53,296.49,357.99,98.59,195.84,110.29,4.46,1.61,0.44,488.69,1.45,0.27,0.48
Konafa,7.43,65.19,1492.66,34.12,63.97,1.17,1.82,191.91,268.22,506.95,132.04,193.91,36.75,1.97,4.93,0.29,539,48.29,0.23,0.05
Grilled Chicken Breast,13.98,66.12,352.59,66.24,7.69,1.55,6.43,0,397.74,410.52,164.08,191.61,80.8,3.85,4.24,0.12,603.54,13.88,0.09,0.46
Ful Medames,10.21,65.83,308.08,20.54,9.13,0.76,0.73,45.64,545.07,240.39,84.68,204.23,46.99,0.34,0.26,0.36,612.89,23.94,0.11,0.14
Konafa,13.43,73.6,958.18,21.9,41.06,1,7.82,123.19,597.47,428.27,72.03,58.17,86.16,0.31,2.86,0.3,457.71,15.67,0.16,0.2
Beef Lean,14.08,67.86,264.57,27.52,17.99,2,6.89,0,147.68,452.2,142.12,101.71,120,5.07,2.8,0.42,297.45,59.51,0.28,0.25
Fried Fish,9.45,61.48,543.33,49.39,34.58,2.31,4.87,0,24.24,139.64,180.93,185.76,14.82,1.45,4.01,0.09,185.66,45.85,0.37,0.13
Taameya Baked,13.21,45.77,327.31,17.73,13.64,1.13,4.75,27.28,355.72,123,29.52,204.13,46.9,1.31,2.9,0.13,4.24,57.06,0.14,0.05
Chicken Thigh Stewed,12.98,61.46,195.85,24.25,10.26,1,3.85,0,156.87,526.43,107.32,171.1,10.76,1.78,0.91,0.26,58.54,28.54,0.04,0.08
Molokhia,12.09,49.58,133.31,8.48,4.85,0.51,0.57,14.54,244.09,382.15,186.56,57.91,35.13,2.08,3.33,0.35,76.57,9.62,0.11,0.33
Sahlab,6.35,78.08,338.29,6.77,11.28,1.26,6.36,56.38,171.2,462.67,141.95,57.73,55.72,5.76,1.16,0.1,73.27,13.09,0.47,0.27
Roasted Chicken,4.94,78.9,704.66,83.89,36.91,1.62,3.9,0,233.51,544.18,80.63,115.9,82.81,2.24,3.4,0.08,633.88,54.08,0.22,0.5
Vegetable Oil,9.34,63.09,2020.58,0,228.57,2.24,6.8,0,27.07,115.25,53.95,159.67,25.54,3.57,2.7,0.19,535.31,21.09,0.48,0.03
Apple,7.72,76.02,91.43,0.53,0.35,2.15,6.18,24.61,10.41,432.83,91.13,179.15,90.53,1.8,3.15,0.38,555.29,26.02,0.38,0.25
Grilled Chicken Breast,10.78,56.25,107.98,20.29,2.36,1.56,7.31,0,280.97,448.63,95.47,288.86,81.29,3.29,1.92,0.11,748.35,58.29,0.22,0.48
Chicken Thigh Stewed,1.66,77.71,1102.28,136.47,57.74,1.41,7.57,0,245.55,570.6,117.16,71.34,34.61,3.02,1.83,0.09,329.19,38.08,0.02,0.14
Green Lentils Cooked,0.18,68.9,510.35,39.6,1.76,1.11,6,87.99,402.62,107.02,154.33,278.67,45.51,3.05,4.54,0.49,265.99,54.16,0.13,0.28
Karkade,10.1,63.37,81.97,0.27,0,2.05,5.02,19.13,10.63,137.59,108.79,227.08,38.64,3.82,4.9,0.3,210.37,58.47,0.42,0.21
Cooked White Rice,7.5,57.46,468.74,8.65,1.08,1.39,5.67,100.96,264.63,545.24,51.11,247.7,103.34,3.76,3.4,0.21,667.29,47.44,0.2,0.14
Chicken Thigh Stewed,12.86,79.25,810.63,100.36,42.46,0.6,0.17,0,175.43,171.76,39.86,172.83,26.16,3.61,2,0.04,666.85,53.29,0.39,0.25
Orange,6.69,55.35,56.4,1.08,0.12,1.71,5.41,14.4,327.73,566.96,97.48,135.58,79.43,1.45,2.64,0.47,742.31,27.97,0.28,0.2
Ful Medames with Oil,0.18,51.03,476.79,21.46,23.84,0.85,4.41,47.68,597.92,130.96,161.5,101.2,58.58,0.36,3.3,0.44,632.25,38.72,0.15,0.22
Green Lentils Cooked,13.18,71.16,299.15,23.21,1.03,0.87,4.15,51.58,75.82,162.9,62.54,68.9,110.29,0.53,4.22,0.09,566.01,48.68,0.19,0.03
Mahshi Pepper,6.93,56.55,64.17,1.75,1.75,1.87,7.72,11.67,242.31,338.09,117.02,68.08,34.77,4.9,0.46,0.26,699.06,29.1,0.04,0.02
Ful Medames,0.66,50.26,435.31,29.02,12.9,1.96,4.23,64.49,389.04,108.84,106.22,284.5,47.82,5.67,4.5,0.27,450.58,10.36,0.17,0.13
Taameya Baked,11.56,64.84,1028.79,55.73,42.87,0.9,2.17,85.73,86.69,494.39,89.01,290.46,39.02,1.31,1.07,0.48,614.38,43.1,0.31,0.29
Shorbat Freekeh,6.21,45.18,411.13,21.64,12.98,2.21,0.82,64.92,581.85,249.77,81.73,149.63,109.99,0.63,4.89,0.5,317.81,20.54,0.44,0.15
Apple,14.81,75.41,103.11,0.59,0.4,1.59,6.24,27.76,414.91,517.2,67.58,230.76,89.62,3.51,0.35,0.14,693.03,59.21,0.5,0.35
Black Eyed Peas,8.63,75.12,344.56,18.55,3.98,0.7,5.97,58.31,76.04,277.43,178.99,107.26,80.12,1.73,0.5,0.44,431.58,42.65,0.47,0.23
Tamarind Drink,1.98,56.84,25.3,0.3,0.1,1.62,1.9,6.58,516.69,514.65,139.34,168.03,31.9,2.6,1.17,0.5,29.26,33,0.05,0.5
Koshari,14.71,46.02,435.44,12.6,9.17,1.14,2.45,73.34,276.21,549.12,19.45,206.68,89.27,1.88,0.73,0.31,345.18,2.26,0.36,0.15
Chicken Liver,9.62,60.2,631.53,91.86,19.14,0.8,1.81,3.83,299.93,144.34,152.11,159.68,112.19,4.14,3.42,0.5,187.41,54.4,0.45,0.25
Rice Pudding,6.21,58.94,374.26,9.36,9.36,1.24,2.1,68.61,271.03,122.9,190.02,176.93,73.74,1.86,1.58,0.18,361.08,8.1,0.23,0.07
Roasted Chicken,8.19,77.77,892.37,106.23,46.74,1.34,2.12,0,591.75,585.15,70.18,95.12,78.16,0.51,1.83,0.22,277.73,22.28,0.02,0.04
Hawawshi,2.66,77.34,1468.8,61.59,56.86,1.92,0.91,161.09,163.26,476.32,32.79,103.91,30.54,0.55,0.74,0.06,61.79,5.36,0.43,0.1
Mahshi Vine Leaves,0.93,66.09,421.68,7.03,14.06,0.77,4.6,63.25,251.62,510.76,11.72,62,60.79,4.03,0.78,0.22,403.21,43.57,0.13,0.06
Kebab,6.83,76.12,719.2,69.04,46.03,1.79,2.2,2.88,28.45,499.39,122.86,76.95,59.96,4.9,2.96,0.47,291.18,37.22,0.15,0.09
Chickpeas Cooked,0.71,48.07,578.37,31.74,9.17,1.19,5.78,95.22,166.29,526.16,198.4,139.47,119.04,0.27,1.43,0.34,88.78,7.16,0.36,0.17
Fried Fish,5.17,45.3,330.49,30.04,21.03,1.1,7.95,0,221.06,423.26,55.33,53.5,11.49,2.09,1.73,0.26,449.74,56.69,0.19,0.46
Banana,9.98,79.36,192.73,2.38,0.65,1.83,2.05,49.81,520.14,143.78,30.71,174.84,84.94,4.48,2.44,0.36,233.31,33.23,0.36,0.34
Mahshi Kousa,2.56,72.38,128.63,3.51,3.51,0.93,1.9,21.05,465.96,354.39,86.64,243.81,75.07,2.11,0.25,0.14,206.33,30.76,0.08,0.07
Butter,14.77,63.05,1395.83,1.75,157.69,1.42,4.19,0.19,131.71,436.28,10.41,160.15,39.89,1.34,2.43,0.31,95.21,48.11,0.35,0.16
Black Coffee,4.03,40.82,2.57,0,0,1.33,5.31,0,390.09,254.74,34.55,141.74,64.68,0.52,4.85,0.35,421.55,53.94,0.08,0.42
Sobia,6.14,57.87,252.18,3.6,9.01,2.12,6.81,36.03,214.84,585.49,47.46,280.06,99.71,2.59,0.57,0.37,765.11,51.79,0.35,0.06
White Cheese,5.82,41.52,155.45,5.7,12.95,1.48,3.17,1.55,153.09,584.57,120.66,230.66,72.63,1.05,2.36,0.21,374.48,59.72,0.45,0.24
Grilled Fish,0.61,59.28,123.8,20.34,4.42,2.06,3.85,0,531.2,508.05,174.71,220.94,87.45,3.96,3.61,0.31,760.09,52.94,0.12,0.02
White Bread,1.95,49.38,1135.99,38.58,13.72,1.08,3.82,210.05,73.8,481.72,93.85,293.62,30.43,4.62,4.84,0.44,346.02,44.28,0.05,0.22
Grilled Chicken Breast,1.6,59.95,718.69,135.03,15.68,2.12,7.16,0,221.63,432.91,68.68,147.03,11.23,0.64,1.07,0.41,380.68,14.74,0.21,0.42
Black Eyed Peas,3.84,49.41,366.71,19.75,4.23,1.35,3.77,62.06,256.33,482.78,124.13,73.57,31.41,2.27,2.9,0.41,513.92,18.21,0.18,0.19
White Cheese,3.1,60.96,860.99,31.57,71.75,0.57,2.94,8.61,377.78,538.1,50.32,65.2,93.96,5.09,3.85,0.44,650.34,11.53,0.31,0.39
Chickpeas Cooked,3.37,64.67,724.87,39.78,11.49,1.29,1.34,119.34,194.86,471.48,25.11,250.65,117.47,3.87,2.37,0.23,464.11,14.76,0.02,0.31
Molokhia,14.01,63.06,183.16,11.66,6.66,0.91,7.72,19.98,501.4,468.01,23.88,298.99,82.01,3.38,2.93,0.38,161.67,0.74,0.5,0.18
Orange,9.82,52.09,110.53,2.12,0.24,0.98,0.46,28.22,54.69,359.44,136.49,255.5,75.54,4.02,0.5,0.08,744.01,42.33,0.38,0.32
Molokhia,7.39,68.64,192.12,12.23,6.99,2.39,3.49,20.96,277.18,465.99,41.2,162.23,28.79,0.35,3.11,0.3,640.54,42.26,0.22,0.13
Basbousa,3.01,43.13,855.47,11.56,27.75,2.1,0.46,127.16,293.3,387.23,29.96,178.22,38.16,3.89,2.82,0.14,713.58,26.45,0.28,0.17
Domiati Cheese,1.27,69.93,401.06,20.8,32.68,1.44,3.63,4.46,50.68,456.91,169.27,169.21,72.01,2.75,2.1,0.05,537.02,15.33,0.08,0.23
Kaak,7.71,75.05,1372.46,19.61,71.89,1.84,3.03,98.03,236.27,516.44,127.67,195.35,14.11,3.58,0.52,0.46,59.05,2.38,0.24,0.06
Rice Pudding,8.4,48.57,374.49,9.36,9.36,0.62,7.4,68.66,249.87,588.24,189.64,222.38,75.05,2.24,2.05,0.12,598.79,11.8,0.18,0.24
Grilled Chicken Breast,0.39,56.59,467.8,87.89,10.21,1.96,3.82,0,454.04,454.38,79.41,73.51,39.91,0.43,2.34,0.2,268.47,55.29,0.16,0.23
Ful Medames with Oil,1.16,48.73,336.22,15.13,16.81,2.21,2.99,33.62,220.99,557.25,168.75,71.17,51.89,3.5,0.4,0.2,334.16,27.44,0.44,0.29
Orange,3.87,46.64,143,2.74,0.3,2.49,2.42,36.51,246.18,463.05,144.41,65,20.07,0.8,4.12,0.14,166.11,44.59,0.07,0.4
Black Coffee,9.41,70.01,6.53,0,0,2.39,3.96,0,91.16,536.95,97.35,273.78,38.34,4.67,3.68,0.46,755.21,35.58,0.34,0.1
Ghorayeba,4.72,65.87,2108.27,21.96,140.55,0.92,3.46,122.98,198.96,352.95,161.89,52.98,96.94,5.75,2.52,0.01,692.71,10.28,0.42,0.47
Ghee,8.11,75.24,2820.61,0,313.4,0.68,7.27,0,155.86,543.76,91.58,258.09,77.19,0.36,1.84,0.08,276.42,48.61,0.1,0.4
Ghorayeba,5.54,59.09,1010.35,10.52,67.36,1.42,2.06,58.94,46.45,466.98,175.28,251.75,77.55,3.27,1.85,0.45,242.85,8.66,0.02,0.47
Mahshi Kousa,12.6,69.79,364.93,9.95,9.95,0.75,5.99,59.72,18.36,526.72,73.32,141.04,67.92,2.88,3.2,0.17,102.4,21.08,0.05,0.29
Milk Full Fat,5.92,74.09,145.1,7.14,7.81,1.65,1.14,10.71,57.52,427.88,159.13,189.03,42.76,0.36,3.62,0.47,175.98,3.39,0.24,0.27
Rice Pudding,1.34,68.54,453.89,11.35,11.35,2.17,6.74,83.21,412.47,138.59,62.86,289.79,102.41,5.5,1.39,0.35,612.16,36.21,0.48,0.3
Raw White Rice,8.48,64.79,379.56,7.49,0.63,1.43,5.71,83.29,495.18,590.09,19.8,260.81,118.33,0.67,4.95,0.02,221.03,33.3,0.26,0.43
Kashkaval Cheese,4.78,79.05,1265.07,90.36,101.21,1.02,2.83,7.23,320.24,581.14,151.37,75.98,90.38,0.54,3.05,0.31,142.27,43.86,0.22,0.1
Taameya Baked,8.73,72.33,312.25,16.91,13.01,1.53,0.8,26.02,82.65,286.52,124.89,76.4,48.39,0.99,3.73,0.22,536.14,27.88,0.49,0.45
Omelette,13.78,66.1,801.44,57.88,57.88,1.42,5.91,8.9,85.6,418.82,126.31,95.14,103.72,0.38,2.93,0.27,221.78,40.01,0.24,0.36
Pasta Cooked,4.09,47.76,728.89,26.76,4.15,0.89,1.74,142.55,525.52,471.97,62.59,205.58,87.82,3.84,2.04,0.5,309.22,47.8,0.38,0.24
Boiled Egg,2.4,42.42,545.44,45.75,38.71,0.87,0.48,3.87,444.36,416,177.33,277.01,116.5,5.31,4.08,0.11,627,44.22,0.47,0.11
Milk Full Fat,4.77,65.62,162.57,8,8.75,1.64,7.62,12.01,385.44,105.58,19.03,187.83,86.88,3.91,0.81,0.27,2.13,33.35,0.48,0.1
Grilled Fish,13.04,71.58,264.3,43.42,9.44,1.23,0.49,0,26.07,277.89,43.35,184.44,74.97,2.81,3,0.42,386.54,17.06,0.48,0.44
Tea with Sugar,11.82,40.93,88.36,0,0,1.38,2.42,22.09,312.79,137.05,90.66,208.42,72,0.39,3.65,0.48,39.69,36.87,0.26,0.36
Atayef,0.92,41.58,1460.01,27.38,54.75,0.79,5.96,182.5,98.61,265.65,23.51,266.61,39.65,1.29,0.67,0.46,24.07,19.16,0.45,0.36
Tamarind Drink,11.76,50.19,209.44,2.51,0.84,1.59,3.15,54.45,147.47,560.4,48.47,56.49,100.24,5.97,4.49,0.44,273.89,51.78,0.26,0.04
Boiled Egg,12.32,64.36,725.61,60.86,51.49,2.05,0.07,5.15,132.47,538.62,116.93,210.7,116.04,3.76,1.45,0.39,483.65,47.87,0.02,0.27
Lamb,14.09,79.32,613.66,52.18,43.83,1.7,5.72,0,131.17,406.37,122.56,106.82,54.57,5.44,3.37,0.46,21.49,1.94,0.28,0.35
Fried Fish,5.01,45.45,1019.93,92.72,64.9,0.93,4.94,0,318.54,305.47,51.72,238.7,19.26,2.57,3.52,0.47,141.12,32.16,0.25,0.39
Ghorayeba,1.6,44.97,1292.03,13.46,86.14,1.56,6.94,75.37,511.18,367.38,91.25,128.43,74.14,4.3,0.32,0.1,313.36,57.32,0.07,0.36
Molokhia,11.73,66.47,44.04,2.8,1.6,0.84,3.42,4.8,452.69,121.89,52.73,177.24,32.33,5.42,2.32,0.41,295.59,47.18,0.32,0.06
Freekeh Cooked,4.9,52.15,445.38,17.82,6.68,1.3,1.8,89.08,24.13,449,69.06,289.34,41.32,4.37,0.36,0.3,590.08,13.41,0.19,0.34
Green Lentils Cooked,1.2,69.31,360.82,27.99,1.24,2.33,7.82,62.21,277.26,334.44,116.33,84.26,94.33,2.52,0.87,0.08,456.59,12.01,0.2,0.1
Mahshi Mixed,8.05,79.91,180.16,7.72,6.43,0.9,7.69,23.16,302.97,568.75,36.33,70.25,55.81,5.91,1.24,0.03,305.01,2.8,0.15,0.1
Ghorayeba,7.71,59.95,1892.09,19.71,126.14,1.67,6.9,110.37,296.82,424.33,35.24,79.18,36.76,3.9,3.77,0.1,707.98,19.15,0.18,0.39
Mahshi Mixed,13.8,61.27,471.12,20.19,16.83,1.61,6.01,60.57,213.85,152.79,57.91,202.81,30.33,5.58,0.91,0.29,584.15,43.53,0.04,0.17
Basbousa,9.53,67.69,274.99,3.72,8.92,2.48,3.6,40.88,37.27,340.08,159.82,225.49,44.32,5.84,1.53,0.11,706.79,19.14,0.26,0.19
Butter,9.99,67.17,3063.93,3.85,346.13,1.46,6.2,0.43,539.96,154.17,25.87,276.25,65.52,1.76,2.61,0.26,253.85,8.09,0.38,0.48
Shorbet Adas,14.67,40.24,180.73,9.04,4.52,0.98,1.4,27.11,380.3,223.61,88.08,96.24,52.68,1.08,3.4,0.3,750.72,40.05,0.21,0.38
Raw White Rice,13.19,48.54,1311.41,25.86,2.19,1.23,2.67,287.78,374.17,540.66,34.01,116.6,25.22,3.38,0.91,0.42,28.87,54.29,0.36,0.02
Mahshi Vine Leaves,3.38,74.27,495.21,8.25,16.51,0.76,1.33,74.28,174.77,141.12,130.98,79.06,103.39,0.89,1.43,0.33,227.85,38.19,0.16,0.28
White Cheese,3.87,41.63,575.45,21.1,47.95,2.27,5.19,5.75,439.84,300.59,185.95,117,59.77,2.28,4.43,0.17,673.35,22.32,0.12,0.23
Lamb,9.82,64.48,335.48,28.53,23.96,1.62,5.91,0,86.52,415.59,48.96,271.97,12.14,3.08,4.27,0.39,588.96,58.9,0.5,0.06
Kofta,4.8,52.72,775.61,59.66,53.7,2.15,1.01,14.92,259.98,234.28,77.3,96.21,95.88,3.08,2.71,0.17,136.71,44.13,0.29,0.29
Roasted Chicken,8.26,65.56,833.7,99.25,43.67,2.04,0.79,0,576.26,320.15,77.44,203.47,72.99,3.17,1.54,0.3,519.7,31.37,0.49,0.06
Chicken Liver,7.98,59.84,248.33,36.12,7.53,0.78,6.57,1.51,281.59,161.9,44.05,162.02,75.36,2.31,1.45,0.42,247.48,2.52,0.39,0.43
Roasted Chicken,4.53,54.41,494.94,58.92,25.93,1.52,5.35,0,357.21,322.87,181.23,67.43,109.29,3.94,2.85,0.22,384.14,54.26,0.06,0.42
Milk Full Fat,3.77,71.11,278.7,13.72,15.01,1.31,4.45,20.58,567.18,362.07,197.19,224.98,118.83,0.25,3.4,0.13,167.68,59.48,0.2,0.22
Chickpeas Cooked,6.78,55.64,178.9,9.82,2.84,0.86,2.87,29.45,281.85,412.62,54.8,102.15,29.31,5.62,1.46,0.31,752.6,25.7,0.22,0.3
Sobia,4.12,55.09,360.94,5.16,12.89,2.34,7.83,51.56,18.87,230.85,151.82,234.05,65.97,5.22,3.14,0.14,24.38,1.13,0.43,0.19
Ful Medames,12.57,51.57,355.25,23.68,10.53,2.45,2.79,52.63,253.8,405.81,82.74,266.09,29.74,2.48,4.76,0.24,484.77,5.47,0.08,0.37
Hawawshi,13.37,76.44,792.17,33.22,30.66,1.69,0.06,86.88,263.8,479.55,134.57,173.88,112.95,4.41,1.33,0.39,210.53,37.13,0.07,0.27
Ful Medames with Oil,10.7,42.87,322.59,14.52,16.13,2.28,4.97,32.26,399.59,529.83,105.39,125.91,48.95,4,4.46,0.07,276.81,34.31,0.4,0.39
Freekeh Cooked,10.06,42.69,468.57,18.74,7.03,1.79,2.96,93.71,245.55,180.98,92.97,225.86,88.41,5.22,0.94,0.06,366.48,9.74,0.24,0.17
Domiati Cheese,8.34,77.91,984.17,51.03,80.19,0.6,4.63,10.94,132.08,599.97,176.1,96.59,40.61,1.4,3.11,0.09,679.31,51.84,0.47,0.4
Fried Fish,9.42,51.12,532.1,48.37,33.86,1.75,3.94,0,377.64,115.23,62.64,231.74,49.53,2.11,3.98,0.29,303.48,39.72,0.03,0.07
Konafa,10.34,56.53,1409.01,32.21,60.39,1.12,1.74,181.16,23.53,405.8,112.89,224.73,98.77,3.16,3.6,0.2,299.69,14.58,0.23,0.16
Black Coffee,11.59,69.15,6.77,0,0,1.84,7.03,0,403.62,399.01,112.43,98.95,40.38,3.52,4.05,0.33,467.2,8.34,0.47,0.21
Pasta Cooked,2.44,54.56,372.35,13.67,2.12,1.52,1.03,72.82,121.98,550.41,15.51,146.24,21.62,2.89,3.63,0.11,773.69,33.41,0.08,0.18
Basbousa,0.48,41.5,237.91,3.22,7.72,0.61,7.13,35.37,273.43,362.01,37.89,147.43,70.81,3.09,4.98,0.12,83.24,49.35,0.1,0.26
Green Lentils Cooked,9.97,73.1,497.41,38.59,1.72,1.22,1.92,85.76,507.13,346.5,120.23,83.51,33.64,5.09,1.77,0.11,49.66,20.9,0.25,0.41
Mahshi Pepper,13.29,65.11,447.84,12.21,12.21,1.33,2.28,81.43,380.83,356.26,28.1,227.9,81.02,3.23,3.05,0.09,311.46,40.93,0.22,0.05
Molokhia,4.87,55.14,63.06,4.01,2.29,2.3,7.53,6.88,330.92,263.42,41.14,164.74,100.97,4.98,4.94,0.41,718.66,54.71,0.37,0.03
Fried Fish,14.56,53.16,752.41,68.4,47.88,2.47,4.24,0,481.84,429.78,183.61,98.66,80.26,2.92,2.98,0.21,482.83,44.94,0.14,0.2
Mango,2.88,46.92,133.12,1.77,0.89,0.64,5.44,33.28,205.68,378.14,13.13,226.31,64.97,5.94,1.76,0.41,158.48,44.58,0.08,0.24
Green Lentils Cooked,5.21,46.84,563.37,43.71,1.94,1.9,7.63,97.13,65.97,297.71,62.5,289.39,17.27,5.21,0.83,0.31,798.8,38.56,0.02,0.47
Chickpeas Cooked,9.21,49.68,355.23,19.49,5.63,0.5,1.18,58.48,317.97,345.95,16.6,237.9,43.68,2.71,1.24,0.25,21.71,50.14,0.04,0.05
Moussaka Egyptian,12.33,48.13,329.61,15.21,15.21,2.02,2.91,30.43,31.82,118.28,124.87,136.02,99,3.75,3.88,0.29,348.26,14.34,0.45,0.21
Orange,6.9,61.38,114.64,2.2,0.24,1.55,6.17,29.27,373.65,582.48,181.91,160.4,53.45,2.93,3.15,0.01,187.61,35.84,0.36,0.36
Fried Fish,13.23,69.08,736.49,66.95,46.87,2.07,7.04,0,187.91,283.38,64.16,72.08,87.19,5.26,0.8,0.25,582.21,6.42,0.15,0.43
Lamb,0.83,51.48,1137.96,96.77,81.28,1.4,0.5,0,509.26,109.8,134.28,85.71,19.97,0.45,1.26,0.26,430.5,49.47,0.49,0.03
Pasta Cooked,7.04,73.54,484.66,17.79,2.76,0.73,7.03,94.78,543.63,444.49,136.85,108.1,50.22,2.65,1.56,0.39,121.24,4.14,0.24,0.2
Omelette,11.81,54.98,841.89,60.8,60.8,1.84,0.87,9.35,405.1,474.24,55.83,177.9,87.25,2.76,1.69,0.09,702.81,7.79,0.3,0.24
Freekeh Cooked,3.18,70.59,156.47,6.26,2.35,2.28,5.67,31.29,404.29,119.8,142.18,191.51,69.23,4.56,0.95,0.15,210.24,56.64,0.32,0.02
Imam Bayildi,7.8,70.56,822.39,14.51,43.54,1.36,0.87,96.75,451.86,311.15,14.74,265.4,62.64,5.88,2.65,0.17,27.17,7.75,0.38,0.29
White Cheese,6.9,71.98,1335.17,48.96,111.26,0.53,7.78,13.35,203.08,296.42,152.27,130.13,101.17,3.67,1.87,0.49,86.43,16.15,0.21,0.25
Om Ali,5.97,79.78,683.64,18.64,24.86,1.09,3.02,93.22,276.53,561.36,123.13,95.59,20.19,5.52,1.29,0.48,205.72,41.34,0.25,0.1
Mango,11.13,76.04,256.54,3.42,1.71,1.56,6.29,64.13,101.93,101.06,194.31,256.43,103.94,4.44,4.12,0.48,127.64,19.14,0.3,0.33
Roasted Chicken,1.42,62.35,222.29,26.46,11.64,1.39,4.43,0,404.92,533.69,187.8,105.81,49.05,1.78,4.42,0.33,589.29,52.16,0.46,0.13
Cooked White Rice,4.53,41.19,132.85,2.45,0.31,1.71,2.21,28.61,175.31,306.85,80.53,153.56,102.73,0.86,4.68,0.29,786.89,34.04,0.15,0.34
White Cheese,7.04,64.61,1570.33,57.58,130.86,1.48,4.54,15.7,342.06,137.39,56.93,143.96,19.46,1.16,4.62,0.41,517.5,8.67,0.13,0.18
